rCH1             rCH2             rCO            aH1CO           aH1CO            D                  E
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     3.87854299E+03
1.12000000E+00  1.09000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.23458494E+03
1.08000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     7.79963242E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     7.89364458E+03
1.12000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.17771620E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.90979223E+03
1.12000000E+00  1.09000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.71968952E+03
1.08000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     7.68884708E+03
1.09000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     6.94923852E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.13514419E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     8.13690051E+03
1.09000000E+00  1.09000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     7.02932611E+03
1.08000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     7.65691252E+03
1.09000000E+00  1.09000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     7.14910177E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     6.42843364E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     6.40137349E+03
1.09000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     7.07360865E+03
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     4.76866554E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.76976597E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.18000000E+02  1.24000000E+02  1.80000000E+02     5.89320519E+03
1.12000000E+00  1.12000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     3.67022799E+03
1.08000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     7.97277651E+03
1.08000000E+00  1.12000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     7.93200065E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     7.69918926E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.18864004E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     5.10480548E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     6.60255139E+03
1.08000000E+00  1.09000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.99943965E+03
1.12000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     4.08606846E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.18000000E+02  1.22000000E+02  1.80000000E+02     5.04975002E+03
